DateTime,CO_new,C6H6_new,NO2_new,T_new,H_new
2023-01-02 00:00:00,0.19558454336209433,0.2251712328767123,0.16490144605975202,0.3333333333333333,0.0
2023-01-02 01:00:00,0.19361413337421893,0.22945205479452058,0.15966516508917597,0.30952380952380953,0.0
2023-01-02 02:00:00,0.1890195827599473,0.21746575342465757,0.15752478259045025,0.30952380952380953,0.0
2023-01-02 03:00:00,0.18971131443126843,0.23630136986301373,0.15824462191225472,0.3333333333333333,0.0
2023-01-02 04:00:00,0.19608645799333854,0.2226027397260274,0.15632720983992063,0.3333333333333333,0.0
2023-01-02 05:00:00,0.19600462408607047,0.23287671232876714,0.1579006304645117,0.3333333333333333,0.0
2023-01-02 06:00:00,0.19955508691795631,0.2226027397260274,0.17595373012720883,0.3333333333333333,0.0
2023-01-02 07:00:00,0.20689474184224116,0.24143835616438356,0.18840105651351638,0.3333333333333333,0.0
2023-01-02 08:00:00,0.20969553083398157,0.23886986301369867,0.20607829847901724,0.3333333333333333,0.0
2023-01-02 09:00:00,0.24860971716508526,0.27397260273972607,0.20544763357538062,0.3333333333333333,0.0
2023-01-02 10:00:00,0.2489854006428194,0.3210616438356165,0.21390086350856286,0.3333333333333333,0.0
2023-01-02 11:00:00,0.2489838956514214,0.3090753424657534,0.2157163802030984,0.3333333333333333,0.0
2023-01-02 12:00:00,0.25312036450891656,0.300513698630137,0.2143849868865079,0.3571428571428571,0.0
2023-01-02 13:00:00,0.25688096176475284,0.300513698630137,0.2098303234200352,0.3571428571428571,0.0
2023-01-02 14:00:00,0.24598200218411873,0.29623287671232873,0.21292623171502031,0.3571428571428571,0.0
2023-01-02 15:00:00,0.25601747295013105,0.2876712328767123,0.21483727348440426,0.3571428571428571,0.0
2023-01-02 16:00:00,0.26076120583673285,0.3116438356164384,0.22862872888163532,0.3571428571428571,0.0
2023-01-02 17:00:00,0.25615687277837396,0.30308219178082196,0.23470587019536723,0.3571428571428571,0.0
2023-01-02 18:00:00,0.2507174576180312,0.2902397260273973,0.22672405250363414,0.3571428571428571,0.0
2023-01-02 19:00:00,0.2431509252404929,0.2851027397260274,0.2306926628333913,0.3571428571428571,0.0
2023-01-02 20:00:00,0.24246615415438763,0.2808219178082192,0.2396937142624531,0.3571428571428571,0.0
2023-01-02 21:00:00,0.22500091710413314,0.2679794520547945,0.2309219937395983,0.3571428571428571,0.0
2023-01-02 22:00:00,0.22268116098798924,0.2577054794520548,0.22667945547141538,0.3571428571428571,0.0
2023-01-02 23:00:00,0.24380860648143357,0.276541095890411,0.21965316357594172,0.3571428571428571,0.0
2023-01-03 08:00:00,0.26617315490406146,0.2928082191780822,0.25076509450405826,0.3571428571428571,0.0
2023-01-03 09:00:00,0.2536260416186558,0.2988013698630137,0.22537354827819306,0.3571428571428571,0.0
2023-01-03 10:00:00,0.22423036150833997,0.29109589041095896,0.20916146616810197,0.3571428571428571,0.0
2023-01-03 11:00:00,0.2234966782017986,0.2654109589041096,0.2138499010849613,0.3571428571428571,0.0
2023-01-03 12:00:00,0.22633904258090973,0.2534246575342466,0.21865939631571146,0.3571428571428571,0.0
2023-01-03 13:00:00,0.21457095046791125,0.25256849315068497,0.20602096084089808,0.3571428571428571,0.0
2023-01-03 14:00:00,0.2032927330549726,0.22174657534246578,0.2015873233073442,0.3571428571428571,0.0
2023-01-03 15:00:00,0.19787720963307365,0.23630136986301373,0.20113503179788042,0.3571428571428571,0.0
2023-01-03 16:00:00,0.23128632555409548,0.25,0.21287526929141876,0.3571428571428571,0.0
2023-01-03 17:00:00,0.24017160664416076,0.2628424657534246,0.21372886532890764,0.3571428571428571,0.0
2023-01-03 18:00:00,0.27536583048717506,0.2979452054794521,0.22199737121123653,0.3571428571428571,0.0
2023-01-03 19:00:00,0.2820850527076206,0.3330479452054795,0.22813821555447036,0.3571428571428571,0.0
2023-01-03 20:00:00,0.2515912932485145,0.30736301369863017,0.20911048409823071,0.3571428571428571,0.0
2023-01-03 21:00:00,0.21012633462166866,0.2568493150684932,0.19431256995054325,0.3571428571428571,0.0
2023-01-03 22:00:00,0.19412620669739986,0.21575342465753425,0.1794636835561194,0.3571428571428571,0.0
2023-01-03 23:00:00,0.20618570276984258,0.21575342465753425,0.17160287706260294,0.3571428571428571,0.0
2023-01-04 00:00:00,0.19951257091096186,0.2551369863013699,0.17249469982936036,0.3571428571428571,0.0
2023-01-04 01:00:00,0.20049627091350158,0.22945205479452058,0.16831588914851653,0.3571428571428571,0.0
2023-01-04 02:00:00,0.1980897896680459,0.2303082191780822,0.18038735783762783,0.3571428571428571,0.0
2023-01-04 03:00:00,0.1880942011740814,0.2166095890410959,0.18522869967156153,0.3571428571428571,0.0
2023-01-04 04:00:00,0.19480872029640803,0.2046232876712329,0.18387185461257477,0.3333333333333333,0.0
2023-01-04 05:00:00,0.19277246693486866,0.2208904109589041,0.17965479264462525,0.3571428571428571,0.0
2023-01-04 06:00:00,0.21013291895903502,0.23544520547945205,0.18787868676003305,0.3333333333333333,0.0
2023-01-04 07:00:00,0.22458629197397492,0.22859589041095893,0.1994342051142855,0.3333333333333333,0.0
2023-01-03 00:00:00,0.21471147903970256,0.27397260273972607,0.19747854175484567,0.3571428571428571,0.0
2023-01-03 01:00:00,0.20286174114336075,0.2457191780821918,0.18964960642234985,0.3333333333333333,0.0
2023-01-03 02:00:00,0.2046464728175038,0.24743150684931509,0.1901082485884941,0.3333333333333333,0.0
2023-01-03 03:00:00,0.20322199845926503,0.2303082191780822,0.18698686890484306,0.3333333333333333,0.0
